[OTIMIZACAO][PARAMETROS][TAMANHO_POPULACAO_INICIAL]=1000
[OTIMIZACAO][PARAMETROS][QUANTIDADE_DESCENDENTES]=300
[OTIMIZACAO][PARAMETROS][QUANTIDADE_GERACOES_TERMINO_OTIMIZACAO]=150

[OTIMIZACAO][INICIO]=2024-02-01 16:15:37.326977

==========================================================
n_gen  |  n_eval  | n_nds  |      eps      |   indicator  
==========================================================
     1 |     1000 |     27 |             - |             -
     2 |     1300 |     30 |  0.3098761308 |         nadir
     3 |     1600 |     29 |  0.1073838520 |         nadir
     4 |     1900 |     32 |  0.0271363111 |         ideal
     5 |     2200 |     29 |  0.0095382215 |         ideal
     6 |     2500 |     32 |  0.0925338568 |         ideal
     7 |     2800 |     36 |  0.0935767893 |         nadir
     8 |     3100 |     33 |  0.0490308509 |         ideal
     9 |     3400 |     36 |  0.2937173703 |         nadir
    10 |     3700 |     41 |  0.2028388375 |         nadir
    11 |     4000 |     44 |  0.0276433920 |         nadir
    12 |     4300 |     44 |  0.3340480275 |         nadir
    13 |     4600 |     44 |  0.0114585035 |             f
    14 |     4900 |     44 |  0.1055692310 |         nadir
    15 |     5200 |     45 |  0.0060498834 |             f
    16 |     5500 |     42 |  0.0325178861 |         ideal
    17 |     5800 |     47 |  0.0119231723 |             f
    18 |     6100 |     52 |  0.0241676837 |         ideal
    19 |     6400 |     55 |  0.4290399680 |         nadir
    20 |     6700 |     54 |  0.0059008232 |             f
    21 |     7000 |     42 |  0.0064360544 |             f
    22 |     7300 |     42 |  0.0342140104 |         nadir
    23 |     7600 |     44 |  0.0025765368 |             f
    24 |     7900 |     48 |  0.0042719613 |             f
    25 |     8200 |     51 |  0.0060949338 |             f
    26 |     8500 |     52 |  0.0585862522 |         nadir
    27 |     8800 |     55 |  0.0071676608 |             f
    28 |     9100 |     55 |  0.7508297514 |         nadir
    29 |     9400 |     58 |  0.0046187815 |             f
    30 |     9700 |     59 |  0.0013016471 |             f
    31 |    10000 |     55 |  0.1925703583 |         nadir
    32 |    10300 |     58 |  0.0049720457 |             f
    33 |    10600 |     57 |  0.0134903404 |         ideal
    34 |    10900 |     57 |  0.0038335786 |             f
    35 |    11200 |     59 |  0.0039392482 |             f
    36 |    11500 |     58 |  0.0019049056 |             f
    37 |    11800 |     52 |  0.0095364811 |             f
    38 |    12100 |     58 |  0.0434043679 |         ideal
    39 |    12400 |     61 |  0.0055581059 |             f
    40 |    12700 |     61 |  0.0057719927 |             f
    41 |    13000 |     64 |  0.0047941709 |             f
