F_SATISFACAO;F_ATIVIDADE;F_COMUNICACAO;Dev_10;Dev_19;Dev_21;Dev_26;Dev_30;Dev_32;Dev_34;Dev_46;Dev_51;Dev_79;Dev_88;Dev_89;Dev_98;Dev_107;Dev_121;Dev_131;Dev_156;Dev_166;Dev_171;Dev_227;Dev_232;Dev_275;Dev_276;Dev_280;Dev_292;Dev_310;Dev_322;Dev_329;Dev_343;Dev_346;Dev_430;Dev_459;Dev_488
1.022639866688334;0.4620833889268975;0.8908988304924645;INDEFINIDO;eShop;msbuild;INDEFINIDO;install-scripts;dotnet-api-docs;project-system;aspnetcore;installer;AspNetCore.Docs;razor;EntityFramework.Docs;INDEFINIDO;docfx;core;winforms;sdk;orleans;arcade;roslyn;docs;INDEFINIDO;aspire;maintenance-packages;maui;runtime;INDEFINIDO;interactive;tye;efcore;csharplang;fsharp;INDEFINIDO
1.0360372383654997;0.4438116127786487;0.881690799606498;EntityFramework.Docs;razor;orleans;msbuild;docfx;fsharp;dotnet-api-docs;csharplang;core;installer;install-scripts;sdk;maui;INDEFINIDO;winforms;INDEFINIDO;efcore;maintenance-packages;INDEFINIDO;eShop;arcade;INDEFINIDO;INDEFINIDO;runtime;INDEFINIDO;project-system;interactive;AspNetCore.Docs;aspnetcore;tye;docs;aspire;roslyn
1.0436550858406994;0.45305773200498173;0.8557139758692317;dotnet-api-docs;msbuild;EntityFramework.Docs;razor;maintenance-packages;arcade;tye;INDEFINIDO;orleans;core;INDEFINIDO;fsharp;docs;docfx;interactive;project-system;INDEFINIDO;install-scripts;csharplang;INDEFINIDO;eShop;runtime;aspnetcore;roslyn;efcore;maui;AspNetCore.Docs;winforms;INDEFINIDO;sdk;INDEFINIDO;installer;aspire
1.0236384912678709;0.44655238133798386;0.9046004975876265;EntityFramework.Docs;razor;orleans;msbuild;docfx;fsharp;dotnet-api-docs;csharplang;core;winforms;install-scripts;sdk;maui;INDEFINIDO;installer;INDEFINIDO;INDEFINIDO;AspNetCore.Docs;tye;maintenance-packages;arcade;efcore;aspnetcore;eShop;INDEFINIDO;runtime;project-system;aspire;interactive;roslyn;docs;INDEFINIDO;INDEFINIDO
1.0453788672756883;0.4433022138004721;0.8809041683728605;EntityFramework.Docs;core;csharplang;dotnet-api-docs;fsharp;docfx;msbuild;orleans;razor;installer;INDEFINIDO;maui;sdk;install-scripts;winforms;INDEFINIDO;INDEFINIDO;AspNetCore.Docs;tye;maintenance-packages;arcade;efcore;aspnetcore;eShop;INDEFINIDO;INDEFINIDO;runtime;INDEFINIDO;project-system;interactive;docs;aspire;roslyn
1.0224132384895013;0.4626362675485906;0.8921757927054229;install-scripts;aspire;docfx;INDEFINIDO;INDEFINIDO;EntityFramework.Docs;msbuild;INDEFINIDO;orleans;AspNetCore.Docs;tye;INDEFINIDO;winforms;razor;sdk;INDEFINIDO;runtime;maui;aspnetcore;fsharp;installer;efcore;maintenance-packages;arcade;dotnet-api-docs;roslyn;INDEFINIDO;core;project-system;docs;eShop;interactive;csharplang
1.0247704697910522;0.44894525324398227;0.8752456216335995;csharplang;INDEFINIDO;tye;fsharp;orleans;core;dotnet-api-docs;maui;install-scripts;sdk;INDEFINIDO;docfx;INDEFINIDO;INDEFINIDO;razor;EntityFramework.Docs;INDEFINIDO;interactive;project-system;aspire;maintenance-packages;arcade;AspNetCore.Docs;runtime;msbuild;docs;INDEFINIDO;aspnetcore;eShop;roslyn;efcore;winforms;installer
1.0236305929534941;0.4465773100294687;0.9036782129874463;EntityFramework.Docs;razor;orleans;msbuild;dotnet-api-docs;fsharp;docfx;csharplang;core;winforms;install-scripts;sdk;maui;INDEFINIDO;installer;INDEFINIDO;INDEFINIDO;AspNetCore.Docs;tye;maintenance-packages;arcade;efcore;aspnetcore;eShop;INDEFINIDO;runtime;project-system;aspire;interactive;roslyn;docs;INDEFINIDO;INDEFINIDO
1.024254394294137;0.4488968818027503;0.8758987038405621;csharplang;INDEFINIDO;tye;core;orleans;fsharp;dotnet-api-docs;maui;install-scripts;sdk;INDEFINIDO;docfx;INDEFINIDO;INDEFINIDO;razor;EntityFramework.Docs;INDEFINIDO;interactive;project-system;aspire;maintenance-packages;arcade;AspNetCore.Docs;runtime;msbuild;docs;INDEFINIDO;aspnetcore;eShop;roslyn;efcore;winforms;installer
1.0289124560430265;0.44546829940511296;0.8748754992559572;csharplang;EntityFramework.Docs;tye;fsharp;orleans;core;dotnet-api-docs;maui;install-scripts;sdk;INDEFINIDO;docfx;INDEFINIDO;INDEFINIDO;razor;installer;INDEFINIDO;interactive;project-system;aspire;maintenance-packages;arcade;AspNetCore.Docs;runtime;msbuild;docs;efcore;roslyn;eShop;aspnetcore;INDEFINIDO;winforms;INDEFINIDO
